year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1943,18,,8.1,459, ,0,0,0,0,0,0,1
1943,63,,6,13, ,0,0,1,0,0,0,0
1943,103,,7.1,56, ,0,0,0,1,0,0,0
1943,67,,5.7,10, ,0,0,0,1,0,0,0
1943,124,1516000,6.6,89, ,0,0,0,1,0,0,0
1943,90,,6.6,32, ,0,0,0,1,0,0,0
1943,89,401000,6.7,34, ,0,0,0,1,0,0,0
1943,62,,9.8,6, ,0,0,0,1,0,0,0
1943,104,,7.9,345, ,0,0,1,0,0,1,0
1943,100,,7.1,311, ,0,0,1,0,0,1,0
1943,63,,8,55, ,0,0,1,0,0,0,0
1943,8,,6.1,45, ,0,1,0,0,0,0,1
1943,49,,5.2,21, ,0,0,0,1,0,0,0
1943,89,,6.4,92, ,0,0,0,0,0,0,0
1943,74,,8.7,40, ,0,0,1,0,0,0,0
1943,8,,6.4,14, ,0,0,1,0,0,0,1
1943,57,,5.5,61, ,0,0,0,0,0,0,0
1943,60,,4.4,14, ,0,0,0,0,0,0,0
1943,80,,6,5, ,0,0,1,0,0,0,0
1943,41,,7.8,68, ,0,0,0,0,1,0,1
1943,88,,6.8,65, ,0,0,1,0,0,0,0
1943,68,,5.8,15, ,0,0,0,1,0,0,0
1943,10,,6.1,6, ,0,0,1,0,0,0,1
1943,83,,7.1,72, ,0,0,1,0,0,1,0
1943,108,,6,115, ,0,0,0,1,0,0,0
1943,94,,6.6,109, ,0,0,0,0,0,0,0
1943,11,,4.8,5, ,0,0,0,0,0,0,1
1943,20,,5.1,14, ,0,0,0,0,0,0,1
1943,110,,7.4,261, ,0,0,0,1,0,0,0
1943,6,,6.9,44, ,0,1,1,0,0,0,1
1943,8,,7.8,26, ,0,1,1,0,0,0,1
1943,108,,8,23, ,0,0,0,1,0,0,0
1943,112,,8,538, ,0,0,0,1,0,0,0
1943,103,,5.4,396, ,0,0,0,1,0,1,0
1943,75,,8.2,1940, ,0,0,0,1,0,0,0
1943,9,,5.8,8, ,0,0,0,0,0,0,1
1943,104,,6.1,16, ,0,0,0,1,0,0,0
1943,85,,5.2,7, ,0,0,0,1,0,0,0
1943,72,,5.5,9, ,0,0,1,0,0,0,0
1943,7,,4.6,11, ,0,1,0,0,0,0,1
1943,61,,5.5,13, ,0,0,1,0,0,0,0
1943,92,1500000,6.6,638, ,0,0,0,1,0,0,0
1943,299,,8.3,38, ,1,0,0,0,0,0,0
1943,17,,7.5,48, ,0,0,1,0,0,0,1
1943,95,,7.6,5, ,0,0,0,0,0,0,0
1943,70,,6,40, ,0,0,0,0,0,0,0
1943,64,,5.6,7, ,0,0,0,0,0,0,0
1943,22,,7,18, ,0,0,0,0,1,0,1
1943,7,,5.6,27, ,0,1,1,0,0,0,1
1943,9,,7.8,35, ,0,1,1,0,0,0,1
1943,10,,6.4,8, ,0,0,0,0,1,0,1
1943,93,,7.1,5, ,0,0,0,0,0,0,0
1943,53,,7.7,118, ,0,0,0,0,1,0,0
1943,3,,7.7,70, ,0,0,0,0,0,0,1
1943,102,,6.1,101, ,0,0,0,0,0,0,0
1943,94,,6.3,87, ,0,0,1,0,0,1,0
1943,7,,6.8,42, ,0,1,1,0,0,0,1
1943,7,,6.8,6, ,0,1,1,0,0,0,1
1943,26,,4.3,31, ,0,0,0,1,1,0,1
1943,8,,7.5,37, ,0,1,1,0,0,0,1
1943,7,,8.3,144, ,0,1,1,0,0,0,1
1943,47,,6.4,15, ,0,0,0,0,1,0,0
1943,78,40000,5.2,14, ,0,0,0,0,0,0,0
1943,61,,4.6,53, ,0,0,0,0,0,0,0
1943,70,,5.9,20, ,1,0,0,0,0,0,0
1943,57,,5.7,7, ,1,0,0,0,0,0,0
1943,88,,5.5,10, ,0,0,1,0,0,0,0
1943,100,,6.8,32, ,0,0,0,1,0,0,0
1943,100,,6.3,9, ,0,0,1,0,0,0,0
1943,4,,7.5,10, ,0,1,0,0,0,0,1
1943,103,,6.7,73, ,0,0,0,1,0,0,0
1943,97,,7.4,815, ,0,0,0,1,0,0,0
1943,101,,6.9,35, ,0,0,1,1,0,0,0
1943,104,,6.7,26, ,0,0,0,1,0,0,0
1943,10,,8.9,5, ,0,1,0,0,0,0,1
1943,8,,7.7,32, ,0,1,1,0,0,0,1
1943,53,,7.4,11, ,0,0,0,0,0,0,0
1943,10,,4,12, ,0,0,0,0,1,0,1
1943,8,,6.4,32, ,0,1,0,0,0,0,1
1943,100,,6.8,17, ,1,0,0,0,0,0,0
1943,7,,7,29, ,0,1,1,0,0,0,1
1943,11,,7.5,9, ,0,0,0,1,0,0,1
1943,71,,6.8,304, ,0,0,0,1,0,0,0
1943,108,,8.1,5680, ,0,0,0,0,0,0,0
1943,68,,6.6,322, ,0,0,0,0,0,0,0
1943,68,,6.5,446, ,0,0,0,0,0,0,0
1943,71,,6.2,309, ,0,0,0,0,0,0,0
1943,15,,6.2,14, ,0,0,0,1,0,0,1
1943,17,,7.8,90, ,0,0,0,0,1,0,1
1943,88,,8.2,33, ,0,0,0,1,0,0,0
1943,89,,6.7,75, ,0,0,1,0,0,1,0
1943,94,,5.7,60, ,0,0,1,0,0,0,0
1943,126,,7.6,187, ,0,0,0,1,0,1,0
1943,64,,5.7,25, ,0,0,1,0,0,0,0
1943,85,,6.7,6, ,0,0,0,0,0,0,0
1943,81,,5,5, ,0,0,0,0,0,0,0
1943,60,,7.6,6, ,0,0,0,1,0,0,0
1943,80,,6.1,378, ,0,0,0,0,0,0,0
1943,156,2000000,7.7,671, ,0,0,0,1,0,0,0
1943,69,,6.5,10, ,0,0,0,0,0,0,0
1943,79,,6.9,6, ,0,0,0,1,0,0,0
1943,4,,7.5,70, ,0,1,0,0,0,0,1
1943,6,,5.9,14, ,0,1,1,0,0,0,1
1943,6,,5.5,78, ,0,1,1,1,1,0,1
1943,17,,7.2,66, ,0,0,1,0,0,0,1
1943,132,,6.3,173, ,0,0,0,0,0,0,0
1943,8,,6.6,7, ,0,1,1,0,0,0,1
1943,8,,5.7,5, ,0,0,0,0,1,0,1
1943,74,,7,5, ,0,0,0,1,0,0,0
1943,67,,7.7,40, ,0,0,0,1,0,0,0
1943,13,,8.5,13, ,0,0,1,0,0,0,1
1943,66,,6.5,10, ,0,0,0,0,0,0,0
1943,65,,3.7,8, ,0,0,0,1,0,0,0
1943,8,,6.8,29, ,0,1,1,0,0,0,1
1943,97,,6.8,264, ,0,0,0,1,0,0,0
1943,95,,6.9,7, ,0,0,0,0,0,0,0
1943,8,,7.8,69, ,0,1,1,0,0,0,1
1943,74,,6.6,35, ,0,0,0,0,0,0,0
1943,79,,6.6,22, ,0,0,1,0,0,0,0
1943,87,,6,27, ,0,0,1,0,0,0,0
1943,76,,5.8,174, ,1,0,0,0,0,0,0
1943,70,,6.3,168, ,1,0,0,0,0,0,0
1943,102,,5.8,84, ,0,0,0,1,0,0,0
1943,124,,7.3,212, ,0,0,1,0,0,0,0
1943,10,,5.7,10, ,0,0,0,0,0,0,1
1943,81,,9.8,8, ,0,0,0,1,0,0,0
1943,95,,6.5,73, ,0,0,1,0,0,0,0
1943,95,,9,5, ,0,0,0,0,0,0,0
1943,18,,7.5,57, ,0,0,1,0,0,0,1
1943,11,,6.2,5, ,0,0,0,0,0,0,1
1943,121,,5.3,113, ,0,0,0,0,0,0,0
1943,103,,7.2,245, ,0,0,0,1,0,0,0
1943,125,,6.6,103, ,0,0,1,1,0,0,0
1943,83,,6.5,7, ,0,0,1,0,0,1,0
1943,15,,8.1,31, ,0,0,1,0,0,0,1
1943,112,,6.3,51, ,0,0,0,1,0,0,0
1943,81,,5.5,7, ,0,0,0,1,0,0,0
1943,59,,6,5, ,0,0,0,0,0,0,0
1943,61,,8,11, ,0,0,0,0,0,0,0
1943,85,,6.5,102, ,0,0,0,1,0,0,0
1943,7,,7.1,58, ,0,1,1,0,0,0,1
1943,7,,5.2,31, ,0,1,1,0,0,0,1
1943,70,,7.5,6, ,0,0,0,0,0,0,0
1943,7,,6,5, ,0,1,1,0,0,0,1
1943,74,,5.8,5, ,0,0,1,0,0,0,0
1943,7,,7.4,102, ,0,1,1,0,0,0,1
1943,5,,4.7,36, ,0,0,0,0,1,0,1
1943,94,,6.3,7, ,0,0,1,0,0,0,0
1943,76,,6.5,22, ,0,0,1,0,0,0,0
1943,88,,7.4,5, ,0,0,1,0,0,0,0
1943,8,,6.4,14, ,0,1,1,0,0,0,1
1943,40,,9.2,6, ,0,0,0,0,1,0,1
1943,8,,6.8,26, ,0,1,0,0,0,0,1
1943,7,,6.3,6, ,0,1,1,0,0,0,1
1943,10,,6.4,6, ,0,0,0,0,0,0,1
1943,61,,5.4,5, ,0,0,0,0,0,0,0
1943,72,,5.4,13, ,0,0,0,0,0,0,0
1943,93,,8,7, ,0,0,0,0,0,0,0
1943,102,,9.1,9, ,0,0,0,0,0,1,0
1943,65,788000,7.4,68, ,0,1,0,0,1,0,0
1943,8,,6.7,53, ,0,1,1,0,0,0,1
1943,85,,5.5,21, ,0,0,0,0,0,0,0
1943,18,,5.9,7, ,0,0,0,0,1,0,1
1943,24,,8.6,12, ,0,0,0,0,0,0,1
1943,74,,9,5, ,0,0,1,0,0,0,0
1943,94,,7.9,781, ,0,0,0,1,0,0,0
1943,7,,7.3,79, ,0,1,1,0,0,0,1
1943,18,,5.2,13, ,0,0,0,0,0,0,1
1943,114,,7.5,378, ,0,0,0,1,0,0,0
1943,98,,6.7,121, ,1,0,0,1,0,0,0
1943,84,,7,5, ,0,0,0,0,0,0,0
1943,103,,5.9,44, ,0,0,0,1,0,0,0
1943,94,,5.5,12, ,0,0,1,0,0,1,0
1943,8,,7.4,27, ,0,1,1,0,0,0,1
1943,87,,7.1,61, ,0,0,1,0,0,0,0
1943,76,,5.9,21, ,0,0,0,0,0,0,0
1943,8,,8,63, ,0,1,1,0,0,0,1
1943,82,,6.6,16, ,0,0,0,0,0,0,0
1943,7,,7.2,33, ,0,1,1,0,0,0,1
1943,90,,6.3,24, ,0,0,0,0,0,0,0
1943,72,,7.3,5, ,0,0,0,1,0,0,0
1943,7,,5.8,9, ,0,1,1,0,0,0,1
1943,7,,6.4,110, ,0,1,1,0,0,0,1
1943,8,,7.8,57, ,0,1,1,0,0,0,1
1943,84,,5.9,49, ,0,0,0,1,0,0,0
1943,11,,6.3,21, ,0,0,0,1,1,0,1
1943,77,,5.3,9, ,0,0,1,0,0,0,0
1943,83,,5.8,25, ,0,0,1,0,0,0,0
1943,82,,5.8,34, ,0,0,1,0,0,0,0
1943,90,,8.8,6, ,0,0,0,0,0,0,0
1944,97,,5.9,50, ,0,0,0,0,0,0,0
1944,80,,5.8,17, ,0,0,1,0,0,0,0
1944,72,,6.2,36, ,0,0,0,1,0,0,0
1944,75,,6.2,12, ,0,0,0,1,0,0,0
1944,130,,6.8,127, ,0,0,0,1,0,0,0
1944,90,,6.2,125, ,0,0,0,0,0,0,0
1944,3,,6,9, ,0,1,0,0,0,0,1
1944,10,,3.3,5, ,0,0,0,0,1,0,1
1944,151,,6.2,51, ,0,0,0,1,0,0,0
1944,86,,6.1,48, ,0,0,0,1,0,0,0
1944,96,,6.2,17, ,0,0,1,0,0,1,0
1944,107,,6.7,54, ,0,0,1,0,0,0,0
1944,7,,6.9,13, ,0,1,1,0,0,0,1
1944,7,,8.3,5, ,0,1,1,0,0,0,1
1944,93,,6.3,12, ,0,0,0,1,0,0,0
1944,59,,6.4,8, ,0,0,0,0,0,0,0
1944,15,,7.4,123, ,0,0,0,0,0,0,1
1944,60,,5.7,14, ,0,0,0,0,0,0,0
1944,51,,6.5,16, ,0,0,0,0,1,0,0
1944,98,,5,31, ,0,0,1,0,0,0,0
1944,30,,6.2,129, ,0,0,0,1,0,0,1
1944,79,,7.4,118, ,0,0,0,1,0,0,0
1944,87,,6.2,18, ,0,0,0,0,0,0,0
1944,6,,5.6,6, ,0,1,1,0,0,0,1
1944,101,2361000,6.1,143, ,0,0,1,0,0,0,0
1944,10,,4.9,5, ,0,0,0,0,1,0,1
1944,65,,7.9,60, ,0,0,0,0,1,0,0
1944,7,,7.8,30, ,0,1,1,0,0,0,1
1944,7,,6.3,6, ,0,1,1,0,0,0,1
1944,72,,3.7,13, ,0,0,1,0,0,0,0
1944,97,,1.5,6, ,0,0,1,0,0,0,0
1944,83,,5.6,24, ,0,0,0,0,0,0,0
1944,65,,5.6,6, ,0,0,0,0,0,0,0
1944,112,,7.1,219, ,0,0,0,1,0,0,0
1944,70,,6,12, ,0,0,0,1,0,0,0
1944,8,,7.3,25, ,0,1,1,0,0,0,1
1944,74,,5.2,75, ,0,0,1,0,0,0,0
1944,7,,7.1,30, ,0,1,1,0,0,0,1
1944,100,,7.8,7, ,0,0,1,0,0,0,0
1944,60,,6.4,57, ,0,0,1,0,0,0,0
1944,69,,5.4,18, ,0,0,0,1,0,0,0
1944,73,,6.5,138, ,0,0,0,0,0,0,0
1944,11,,5.1,6, ,0,0,0,0,1,0,1
1944,7,,6.1,44, ,0,1,1,0,0,0,1
1944,26,,7.1,156, ,0,0,0,0,0,0,1
1944,7,,7.3,16, ,0,1,1,0,0,0,1
1944,3,,7.2,28, ,0,1,1,0,0,0,1
1944,13,,6.5,8, ,0,0,0,0,0,0,1
1944,110,,4.6,5, ,0,0,0,0,0,0,0
1944,62,,4.7,73, ,0,0,1,0,0,0,0
1944,94,,6.9,13, ,0,0,1,0,0,0,0
1944,62,,5.2,5, ,0,0,0,0,0,0,0
1944,60,,5.7,71, ,0,0,1,0,0,0,0
1944,89,,6,41, ,0,0,0,1,0,0,0
1944,115,,6.3,21, ,0,0,0,0,0,0,0
1944,7,,7.8,15, ,0,1,1,0,0,0,1
1944,9,,7.2,51, ,0,1,1,0,0,0,1
1944,90,,6.3,131, ,0,0,0,0,0,0,0
1944,8,,6.4,97, ,0,1,1,0,0,0,1
1944,7,,7,132, ,0,1,1,0,0,0,1
1944,17,,7.2,56, ,0,0,1,0,0,0,1
1944,4,,6.1,9, ,0,1,0,0,0,0,1
1944,56,,6.4,9, ,0,0,0,0,0,0,0
1944,90,,6.3,62, ,0,0,0,0,0,0,0
1944,85,,7,6, ,0,0,0,1,0,0,0
1944,75,,5.9,11, ,0,0,0,0,0,0,0
1944,95,,7.9,344, ,0,0,0,1,0,0,0
1944,96,,6.7,335, ,0,0,1,0,0,0,0
1944,244,,5.5,48, ,1,0,0,0,0,0,0
1944,94,,6.1,79, ,0,0,1,0,0,0,0
1944,3,,7.3,12, ,0,1,0,0,0,0,1
1944,105,,5.5,22, ,0,0,1,1,0,0,0
1944,67,75000,6.2,167, ,0,0,0,0,0,0,0
1944,65,75000,6.5,190, ,0,0,0,1,0,0,0
1944,63,75000,6.6,180, ,0,0,0,0,0,0,0
1944,56,,7,9, ,0,0,0,0,0,0,0
1944,71,,6.1,5, ,0,0,1,0,0,0,0
1944,93,,6.6,88, ,0,0,0,1,0,0,0
1944,137,,7.8,862, ,0,0,0,1,0,0,0
1944,99,,7.2,6, ,0,0,0,1,0,0,0
1944,86,,5.4,40, ,0,0,0,0,0,0,0
1944,71,,5.4,124, ,0,0,0,1,0,0,0
1944,7,,7.3,71, ,0,1,1,0,0,0,1
1944,101,,6.4,101, ,0,0,0,1,0,0,0
1944,8,,7.3,22, ,0,1,1,0,0,0,1
1944,107,,7.2,361, ,0,0,1,0,0,0,0
1944,52,,6,28, ,0,0,0,0,0,0,0
1944,18,,7.6,60, ,0,0,1,0,0,0,1
1944,63,,6.6,7, ,0,0,1,0,0,0,0
1944,72,,6.2,47, ,0,0,0,0,0,0,0
1944,63,,5,35, ,0,0,0,0,0,0,0
1944,70,,6.8,386, ,0,0,0,0,0,0,0
1944,60,,4.8,5, ,0,0,0,1,0,0,0
1944,56,,5.6,8, ,0,0,0,1,0,0,0
1944,21,,6.1,6, ,0,0,0,1,0,0,1
1944,90,,6.6,61, ,0,0,0,0,0,0,0
1944,86,,5.6,103, ,0,0,0,1,0,0,0
1944,64,,5.7,29, ,0,0,0,0,0,0,0
1944,56,,4.6,5, ,0,0,0,0,0,0,0
1944,65,,5.6,6, ,0,0,0,1,0,0,0
1944,72,,4.6,8, ,0,0,0,0,0,0,0
1944,78,,9.1,8, ,0,0,0,0,0,0,0
1944,90,,6.3,21, ,0,0,1,0,0,1,0
1944,7,,7,64, ,0,1,1,0,0,0,1
1944,7,,7.3,30, ,0,1,1,0,0,0,1
1944,110,927262,8.5,11592, ,0,0,0,1,0,0,0
1944,102,,6.3,36, ,0,0,1,0,0,0,0
1944,145,,6,128, ,0,0,0,1,0,0,0
1944,7,,7,44, ,0,1,1,0,0,0,1
1944,20,,5.7,8, ,0,0,0,1,0,0,1
1944,100,,6.2,12, ,0,0,0,1,0,0,0
1944,72,,4.4,8, ,0,0,0,1,0,0,0
1944,101,,6,10, ,0,0,0,0,0,1,0
1944,89,,5,14, ,0,0,1,0,0,1,0
1944,72,,6.2,8, ,0,0,0,0,0,0,0
1944,96,,7,20, ,0,0,0,1,0,0,0
1944,91,,6.2,118, ,0,0,0,0,0,1,0
1944,64,,6.3,35, ,0,0,0,1,0,0,0
1944,66,,5.9,54, ,0,0,0,1,0,0,0
1944,70,,6.4,43, ,0,0,0,0,0,0,0
1944,102,,5.7,44, ,0,0,0,1,0,0,0
1944,97,,7.6,930, ,0,0,1,0,0,0,0
1944,65,,6.7,6, ,0,0,1,0,0,0,0
1944,61,,7.1,21, ,0,0,0,0,1,0,0
1944,100,,6.1,417, ,1,0,0,1,0,1,0
1944,7,,6.7,14, ,0,1,1,0,0,0,1
1944,101,,8.2,44, ,0,0,0,0,0,0,0
1944,122,,6.6,35, ,0,0,1,1,0,0,0
1944,65,,6.8,49, ,0,0,1,0,0,0,0
1944,60,,6.5,18, ,0,0,0,0,0,0,0
1944,89,,6.3,50, ,0,0,0,0,0,1,0
1944,110,,6.2,90, ,0,0,0,0,0,0,0
1944,94,,6.2,6, ,0,0,0,0,0,0,0
1944,7,,6.5,8, ,0,1,1,0,0,0,1
1944,58,,4.2,8, ,0,0,0,0,0,0,0
1944,60,,5.5,6, ,0,0,0,0,0,0,0
1944,56,,5.5,5, ,0,0,0,0,0,0,0
1944,3,,7.4,7, ,0,1,0,0,0,0,1
1944,114,,7.6,2608, ,0,0,0,1,0,0,0
1944,80,,4.9,18, ,0,0,0,0,0,0,0
1944,19,,7.3,77, ,0,0,1,0,0,0,1
1944,68,,7.1,25, ,0,0,1,0,0,0,0
1944,64,,5.5,32, ,0,0,1,0,0,0,0
1944,65,,4.4,32, ,0,0,1,0,0,0,0
1944,56,,6,9, ,0,0,0,0,0,0,0
1944,95,,4.9,19, ,0,0,1,0,0,0,0
1944,56,,5.8,15, ,0,0,0,0,0,0,0
1944,4,,7.2,10, ,0,1,1,0,0,0,1
1944,130,,7.4,918, ,0,0,1,1,0,0,0
1944,223,,7.5,10, ,0,0,0,0,0,0,0
1944,72,,6.5,5, ,0,0,1,1,0,0,0
1944,83,,5.8,63, ,0,0,1,1,0,0,0
1944,82,,6.4,36, ,0,0,0,0,0,0,0
1944,121,,6.1,21, ,0,0,0,1,0,0,0
1944,77,,5.4,11, ,0,0,0,0,0,0,0
1944,101,,7.7,515, ,0,0,1,0,0,0,0
1944,92,,5.7,35, ,0,0,0,1,0,0,0
1944,95,,6.3,34, ,0,0,0,1,0,0,0
1944,72,,6.3,8, ,0,0,0,0,0,0,0
1944,7,,7.6,29, ,0,1,1,0,0,0,1
1944,7,,6.9,61, ,0,1,1,0,0,0,1
1944,8,,6.8,40, ,0,1,1,0,0,0,1
1944,243,,8,14, ,1,0,0,0,0,0,0
1944,103,,3.4,6, ,0,0,1,0,0,0,0
1944,71,,6.7,11, ,0,0,1,0,0,0,0
1944,13,,9.4,5, ,0,1,0,0,0,0,1
1944,65,,8.2,37, ,0,0,1,0,0,0,0
1944,75,,7.3,23, ,0,0,1,0,0,0,0
1944,66,,7.8,46, ,0,0,1,0,0,0,0
1944,99,,6,30, ,0,0,1,0,0,0,0
1944,101,,7.7,347, ,0,0,0,1,0,0,0
1944,90,,5.4,83, ,0,0,1,0,0,0,0
1944,101,,5.9,9, ,0,0,0,1,0,0,0
1944,124,,6.8,259, ,0,0,1,0,0,1,0
1944,103,,6.3,55, ,0,0,0,0,0,0,0
1944,79,,6.1,8, ,0,0,1,0,0,0,0
1944,79,,6.4,71, ,0,0,0,0,0,0,0
1944,75,,4.3,8, ,0,0,0,1,0,0,0
1944,71,,6,477, ,0,0,0,0,0,0,0
1944,7,,6.8,54, ,0,1,1,0,0,0,1
1944,7,,6.7,65, ,0,1,1,0,0,0,1
1944,8,,6.9,51, ,0,1,1,0,0,0,1
1944,68,,2.4,364, ,0,0,0,1,0,0,0
1944,8,,6.6,15, ,0,1,1,0,0,0,1
1944,106,,5.9,7, ,0,0,0,1,0,0,0
1944,18,,7.2,64, ,0,0,0,1,0,0,1
1944,85,,5.5,56, ,0,0,0,1,0,0,0
1944,17,,7.3,56, ,0,0,1,0,0,0,1
1944,91,600000,6.8,8, ,0,0,1,1,0,1,0
1944,11,,4.3,9, ,0,0,1,0,0,0,1
1944,92,,6.1,16, ,0,0,0,1,0,0,0
1944,110,,6.1,40, ,0,0,0,1,0,0,0
1944,75,,5.8,198, ,0,0,1,0,0,0,0
1944,72,,4.7,14, ,0,0,1,0,0,0,0
1944,7,,5.6,7, ,0,1,1,0,0,0,1
1944,78,,5.3,126, ,0,0,0,0,0,0,0
1944,90,,4.5,31, ,0,0,0,0,0,0,0
1944,85,,7.3,171, ,0,0,1,0,0,0,0
1944,10,,8.3,36, ,0,0,0,0,0,0,1
1944,97,,7.5,1081, ,0,0,0,1,0,1,0
1944,102,,6.3,32, ,0,0,1,0,0,1,0
1944,79,,5.7,10, ,0,0,1,0,0,1,0
1944,109,,6,12, ,0,0,0,1,0,0,0
1944,137,3000000,6.8,197, ,0,0,0,1,0,0,0
1944,100,3000000,6.2,105, ,0,0,0,0,0,0,0
1944,85,,4.1,23, ,0,0,1,0,0,0,0
1944,95,,7.4,8, ,0,0,0,0,0,0,0
1944,88,,6.3,6, ,0,0,0,1,0,0,0
1944,10,,6.8,6, ,0,0,0,0,1,0,1
1944,67,,5.2,13, ,0,0,0,0,0,0,0
1944,100,,5.7,66, ,0,0,1,0,0,0,0
1944,60,,6.3,6, ,0,0,0,0,0,1,0
1944,54,,4.4,5, ,0,0,0,0,0,0,0
1944,57,,5.1,17, ,0,0,0,0,0,0,0
1944,88,,8.2,4632, ,0,0,0,0,0,1,0
1944,71,,1.7,8, ,0,0,1,0,0,0,0
1944,3,,6,5, ,0,1,0,0,0,0,1
1944,96,,7.6,2765, ,0,0,0,1,0,0,0
1944,76,,6,17, ,0,0,0,0,0,0,0
1944,104,,5.6,8, ,0,0,1,0,0,0,0
1944,7,,7.7,88, ,0,1,1,0,0,0,1
1944,84,,7,159, ,0,0,0,0,0,0,0
1944,8,,5.9,11, ,0,1,1,0,0,0,1
1944,89,,5.7,105, ,0,0,1,0,0,0,0
1944,113,,6.5,48, ,0,0,0,1,0,1,0
1944,65,,7.5,17, ,1,0,0,0,0,0,0
1944,69,,6.4,41, ,0,0,0,1,0,0,0
1944,90,,5.8,21, ,0,0,1,0,0,0,0
1944,82,,5.3,24, ,0,0,1,0,0,0,0
1944,91,,6.3,5, ,0,0,0,1,0,0,0
1944,93,,7.9,8, ,0,0,0,1,0,0,0
1944,90,,5.5,25, ,1,0,0,1,0,1,0
1944,60,,7.1,17, ,0,0,0,1,0,0,0
1944,116,,5.2,33, ,0,0,1,0,0,0,0
1944,54,,7,5, ,0,0,0,0,0,0,0
1944,95,,7.4,312, ,0,0,0,1,0,0,0
1944,95,,6,26, ,0,0,0,1,0,0,0
1944,6,,5.9,20, ,0,1,1,0,0,0,1
1944,84,,5.4,5, ,0,0,0,1,0,0,0
1944,113,1707561,7.7,2480, ,0,0,0,0,0,1,0
1944,100,,5.8,40, ,0,0,1,0,0,0,0
1944,45,,7.8,144, ,0,0,0,0,1,0,0
1944,91,,7.2,12, ,0,0,1,0,0,0,0
1944,7,,7.3,41, ,0,1,1,0,0,0,1
1944,65,,6.7,67, ,0,0,1,0,0,0,0
1944,87,,7.3,401, ,0,0,0,1,0,0,0
1944,99,,7.8,992, ,0,0,1,0,0,0,0
1944,66,,5.5,5, ,0,0,0,0,0,0,0
1944,53,,6.1,9, ,0,0,0,1,0,0,0
1944,55,,5.9,6, ,0,0,0,0,0,0,0
1944,62,,4.4,57, ,0,0,0,0,0,0,0
1944,100,,7.1,18, ,0,0,0,1,0,0,0
1944,7,,7.9,51, ,0,1,1,0,0,0,1
1944,11,,7.6,20, ,0,0,1,0,0,0,1
1944,94,,6.2,12, ,0,0,0,1,0,0,0
1944,145,,7.5,485, ,0,0,0,1,0,1,0
1944,80,,6.3,37, ,0,0,1,0,0,0,0
1944,124,,7.1,103, ,0,0,0,1,0,1,0
1944,129,,8.1,6, ,0,0,0,1,0,0,0
1944,62,,5.1,183, ,0,0,0,0,0,0,0
1944,61,,5,192, ,0,0,0,0,0,0,0
1944,61,,7,27, ,0,0,1,0,0,0,0
1944,90,,7.5,948, ,0,0,0,1,0,0,0
1944,115,,6.5,79, ,0,0,1,0,0,0,0
1944,81,,5.6,13, ,0,0,0,0,0,1,0
1944,21,,5.4,14, ,0,0,0,0,0,0,1
1944,75,,5.3,10, ,0,0,0,0,0,0,0
1944,58,,7.3,18, ,1,0,0,0,0,0,0
1944,218,,8.4,10, ,1,0,0,0,0,0,0
1944,75,,3.8,19, ,0,0,0,0,0,0,0
1944,123,,7.4,802, ,0,0,0,1,0,0,0
1944,74,,5.9,6, ,0,0,0,1,0,0,0
1944,43,,6.8,29, ,0,0,0,1,1,0,1
1944,62,,5.5,22, ,0,0,0,0,0,0,0
1944,65,,6.2,26, ,0,0,0,0,0,0,0
1944,78,,7.9,9, ,0,0,1,0,0,0,0
1944,17,,7.6,52, ,0,0,1,0,0,0,1
1944,113,,6.4,206, ,0,0,0,1,0,0,0
1944,85,,7.1,17, ,0,0,0,1,0,0,0
1944,11,,4.9,7, ,0,0,0,0,0,0,1
1944,69,,5.6,79, ,0,0,1,0,0,0,0
1944,57,,5.3,5, ,0,0,0,0,0,0,0
1944,8,,8.4,55, ,0,1,1,0,0,0,1
1944,80,,7.4,49, ,0,0,1,0,0,0,0
1944,89,,5.3,70, ,0,0,1,0,0,0,0
1944,75,,5.3,65, ,0,0,1,0,0,0,0
1944,61,,6.6,10, ,0,0,0,1,0,0,0
1944,98,,7.7,33, ,0,0,0,0,0,0,0
1944,105,,6.4,7, ,0,0,0,1,0,0,0
1944,81,,6.7,36, ,0,0,1,0,0,0,0
1944,54,,4.2,6, ,0,0,0,0,0,0,0
1944,75,,6.6,409, ,0,0,0,1,0,0,0
1944,65,,5.8,19, ,0,0,1,0,0,0,0
1944,3,,5.9,5, ,0,1,0,0,0,0,1
1944,69,,6.6,251, ,0,0,0,0,0,0,0
1944,92,,6.2,6, ,0,0,0,0,0,1,0
1944,87,,7.6,327, ,0,0,0,0,0,0,0
1944,84,,5.9,50, ,0,0,0,0,0,1,0
1944,7,,5.6,6, ,0,1,1,0,0,0,1
1944,7,,7.6,33, ,0,1,1,0,0,0,1
1944,7,,7.7,18, ,0,1,1,0,0,0,1
1944,90,,8.1,5, ,0,0,1,0,0,0,0
1944,10,,7.4,7, ,0,0,0,0,0,0,1
1944,94,2000000,6.7,228, ,0,0,1,0,0,0,0
1944,22,,7.8,21, ,0,0,0,0,1,0,1
1944,3,,6.8,10, ,0,1,0,0,0,0,1
1944,99,,7.3,122, ,0,0,0,1,0,0,0
1944,7,,6.5,25, ,0,1,1,0,0,0,1
1944,93,,7.5,9, ,0,0,0,1,0,0,0
1944,225,,6.7,5, ,0,0,0,0,0,0,0
